题型,题干,选项,选项数量,答案,解析,所属知识点,难度,是否题帽题,是否题帽
5,重点室全名,,,医学分子生物学国家重点实验室,,13,1,0,0
2,下面属于重点室仪器平台的职责,A．收集实验相关大型仪器需求         B.维护平台仪器对外开放和使用        C.组织仪器使用培训              D.管理LIMS系统,4,ABCD ,,13,1,0,0
1,重点室的公用仪器分布情况,A.全部分布在老楼          B.全部分布在新楼           C.新老科研楼都有重点室公用仪器,3,C,,13,1,0,0
1,重点室仪器平台分几个亚功能平台,A．3个  B.4个  C.5个  D.7个,4,A,,13,1,0,0
2,下面几个实验室中，那些是重点室24小时全天候开放的公共仪器室,A．新楼209    B．新楼210        C．老楼321   D.老楼363,4,ABC,,13,1,0,0
3,在重点室仪器平台遇到任何仪器使用问题问任何一位工作人员都可以。,,,错,,13,1,0,0
1,大型分离制备类（包括各种离心机、超声打断等仪器）仪器在那个实验室？,A．新楼209    B．新楼210        C．老楼321   D.老楼363,4,B,,13,1,0,0
1,对于大型精密度高需要专门技术操作的仪器的管理方式是：,A．24小时开放，不需预约    B．仅上班时间开放，必须预约，由仪器管理员老师操作或指导    C．自己课题组老师带着使用就可以,3,B,,13,1,0,0
1,对于中小型仪器的管理方式是：,A．全部需要预约使用    B．只能工作日使用    C．24小时开放，只有个别仪器需要预约。,3,C,,13,1,0,0
3,重点室仪器平台LIMS系统只能在所内网登陆。,,,对,,13,1,0,0
1,LIMS账号不可以随便借用他人。,,,对,,13,1,0,0
1,下面是LIMS账号申请规则：,A．本课题组管理员添加并激活   B．由使用者注册，带着课题组长签字的申请表，来重点室平台激活    C．使用者自行注册，手机激活码激活  D.随来随办,4,B,,13,1,0,0
1,取得LIMS账号后即可申请开卡，下面的正确做法是：,A．在固定时间，以课题组为单位来重点室开卡   B．单独使用者随来随办   C．课题组管理员开卡,3,A,,13,1,0,0
1,需要预约使用的仪器有：,A．荧光定量PCR仪    B．超速离心机    C．Confocal显微镜    D．流式细胞仪,4,ABCD ,,13,1,0,0
3,所有的仪器培训模式都是一样的。,,,错,,13,1,0,0
3,自己课题组的PCR仪坏了，搬一台重点室的回去用。,,,错,,13,1,0,0
3,酶标仪读数中，闲的没事，上网玩会儿游戏。,,,错,,13,1,0,0
3,不小心洒了LB到离心机中，赶紧联系仪器负责老师，承认错误，并清理干净。,,,对,,13,1,0,0
2,马上要做一个实验，要登录仪器发现账号被封，原因可能是：,A．犯了错误被封账号    B．没有提交反馈，账号自动被封。    C．我的账号突然失联    D．密码泄露,4,AB,,13,1,0,0
2,要做ELISA实验，第一次使用重点室的酶标仪读数。您需要：,A．有LIMS账号       B．需要上机时让管理员老师帮忙      C．提前查知仪器位置并学会使用       D．可以让高年资师兄师姐指导使用,4,ACD,,13,1,0,0
2,要做荧光定量PCR实验，第一次使用相关仪器。您需要：,A．有LIMS账号       B．提前预约        C．提前查知仪器位置并学会使用       D．让高年资师兄师姐指导使用,4,ABCD ,,13,1,0,0
1,重点室平台的卡适用于：,A.刷开公共仪器实验室门      B.刷开管理员办公室      C.刷卡使用部分仪器     D.所有仪器均需刷卡使用,4,AC,,13,1,0,0
