题型,题干,选项,选项数量,答案,解析,所属知识点,难度,是否题冒题,是否题冒
1,单选测试1,A、静电作用力B、氢键C、疏水键D、范德华作用力,4,B,,13,1,0,0
1,单选测试2,A、脂肪酸的β-氧化         B、氧化磷酸化        C、三羧酸循环              D、脂肪酸合成,4,D,,13,1,0,0
1,单选测试3,A、酶和底物亲和力大小的常数?????????????B、酶促反应速度大小的常数??C、酶被底物饱和程度的常数???????????????D、酶的稳定性的常数,4,A,,13,1,0,0
1,单选测试4,A．都是L型的；  B。都是左旋的；  C。并非都是L型的；  D。有D型的也有L型的,4,A,,13,1,0,0
1,单选测试5,A．100nm左右    B．10nm左右        C．1nm左右,3,B,,13,1,0,0
1,单选测试6,A．mRNA   B．hnRNA    C．rRNA和5SRNA    D．tRNA和5SRNA,4,D,真核生物RNA聚合酶Ⅲ的别名叫小分子RNA聚合酶，负责包括tRNA和5SrRNA在内的小分子RNA的合成,13,1,0,0
1,单选测试7,A．核糖核酸酶    B．羟肽酶    C．胃蛋白酶,3,A,核糖核酸酶没有酶原形式，具有酶原形式的酶多数是蛋白酶，以免自溶,13,1,0,0
1,单选测试8,A．A型    B．B型    C．C型     D．Z型,4,B,,13,1,0,0
1,单选测试9,"A．是两种性质不同，用处不同的蛋白质制备方法  
B．是一种性质，但表现方法不同的蛋白质制备方法
C．是同一种方法的两种名词
",3,A,超滤指大分子不能通过滤膜，仅通过分子，而凝胶过滤时大分子不能进入分离介质，故先被洗脱,13,1,0,0
1,单选测试10,A．亚硝酸       B．过氯酸          C．硫酸             D．过甲酸,4,D,,13,1,0,0
1,单选测试11,A．促进肝脏糖原分解  B．增加脂肪贮存  C．加强蛋白质的同化作用  D.钾、钙、磷等物质的吸收,4,C,雄性激素对物质代谢最重要的作用就是促使蛋白质合成,13,1,0,0
1,单选测试12,A．天冬氨酸B．赖氨酸C．谷氨酰胺 D．甘氨酸,4,A,,13,1,0,0
1,单选测试13,A．精氨酸  B．赖氨酸  C．脯氨酸,3,C,,13,1,0,0
1,单选测试14,A．Southern blotting    B．Northern blotting    C．Western blotting    D．Eastern blotting,4,B,,13,1,0,0
1,单选测试15,A．7.26      B．5.97      C．7.14      D．10.77,4,B,甘氨酸的pI是其两个pK的平均值,13,1,0,0
1,单选测试16,A．核酸外切酶    B．限制性内切酶     C．DNA连接酶     D．脱氧核糖核酸酶,4,B,,13,1,0,0
1,单选测试17,A．-10     B．-35     C．-200     D．1K,4,A,,13,1,0,0
1,单选测试18,A．CNBr    B．丹磺酰氯    C．6N HCl    D．胰蛋白酶,4,B,,13,1,0,0
1,单选测试19,A．肽键的断裂    B．丹基酸残基的化学修饰    C．一些侧链基团的暴露    D．二硫键的折开,4,C,,13,1,0,0
1,单选测试20,A．氢键       B．离子键       C．疏水作用       D．共价键,4,C,,13,1,0,0
1,单选测试21,A．糖类的合成    B．脂类的合成    C．分泌性蛋白质的合成    D．必需氨基酸的合成,4,C,,13,1,0,0
1,单选测试22,A．乙酰辅酶A     B．草酰乙酸     C．丙二酸单酰辅酶A       D．甲硫氨酸,4,C,,13,1,0,0
1,单选测试23,A．细菌缺乏氮源时   B．细菌缺乏碳源时   C．细菌在环境温度太高时    D．细菌在环境温度太低时,4,A,,13,1,0,0
1,单选测试24,A．维生素K    B．维生素E    C．维生素C    D．维生素A,4,A,,13,1,0,0
1,单选测试25,A．Na+        B．K+         C．Ca2+          D．Mg2+,4,C,钙调蛋白的发现，使得钙离子被确认为是一种细胞信号传导的载体，又被称为细胞信号载体,13,1,0,0
1,单选测试26,A．丙氨酸  B．缬氨酸  C．丝氨酸  D．苏氨酸,4,B,,13,1,0,0
1,单选测试27,A．发育生物学  B．免疫学  C．分子病毒学  D．结构生活生物学,4,B,,13,1,0,0
1,单选测试28,A．不断扰动状态  B．可以相对自由旋转 C．同一平面 D．虽不同外界环境而变化的状态,4,C,,13,1,0,0
1,单选测试29,A．柠檬酸合成酶  B．异柠檬酸脱氢酶  C．苹果酸脱氢酶  D．酮戊二酸脱氢酶,4,C,,13,1,0,0
1,单选测试30,A．NADH脱氢酶  B．甘油磷酸脱氢酶  C．胆碱脱氢酶  D．琥珀酸脱氢酶,4,D,,13,1,0,0
2,多选测试31,A．非竞争性抑制剂 B．竞争性抑制剂    C．反竞争性抑制剂,3,ABCD,,13,1,0,0
2,多选测试32,A．限制性内切酶  B．DNA聚合酶  C．RNA聚合酶  D．肽酰转移酶,4,ABCD,,13,1,0,0
2,多选测试33,A．分配层析  B．交换层析  C．亲和层析  D．薄版层析,4,ABCD,,13,1,0,0
2,多选测试34,A．mRNA  B．rRNA  C．tRNA  D．病毒RNA,4,ABCD,,13,1,0,0
2,多选测试35,A．RNA聚合酶Ⅰ     B．RNA聚合酶Ⅱ     C．RNA聚合酶Ⅲ,3,ABCD,,13,1,0,0
2,多选测试36,A．2  B．3  C．4  D．5,4,ABCD,,13,1,0,0
2,多选测试37,A．1         B．2        C．3           D．4,4,ABCD,分别是氨基酸、ATP、Trna,13,1,0,0
